rank,nodeid,count,percent
1,35894,5782,0.51%
2,49254,5737,0.50%
3,24050,5695,0.50%
4,41472,5436,0.48%
5,25058,5371,0.47%
6,1203,5256,0.46%
7,21835,5165,0.45%
8,5823,5138,0.45%
9,9877,5117,0.45%
10,61471,4910,0.43%
11,19635,4868,0.43%
12,28754,4649,0.41%
13,55485,4628,0.41%
14,35283,4562,0.40%
15,3656,4474,0.39%
16,4502,4470,0.39%
17,61308,4457,0.39%
18,15365,4434,0.39%
19,48807,4394,0.39%
20,48438,4365,0.38%
21,25933,4347,0.38%
22,60398,4337,0.38%
23,10763,4271,0.38%
24,61653,4253,0.37%
25,1325,4246,0.37%
26,4399,4225,0.37%
27,18769,4202,0.37%
28,26866,4198,0.37%
29,32710,4189,0.37%
30,29933,4164,0.37%
31,27788,4121,0.36%
32,56001,4098,0.36%
33,40362,4067,0.36%
34,65034,4004,0.35%
35,1822,3991,0.35%
36,38190,3980,0.35%
37,27929,3964,0.35%
38,13714,3948,0.35%
39,18302,3945,0.35%
40,25260,3901,0.34%
41,13885,3868,0.34%
42,21958,3772,0.33%
43,37671,3752,0.33%
44,1031,3714,0.33%
45,49978,3713,0.33%
46,20807,3642,0.32%
47,36858,3630,0.32%
48,33755,3610,0.32%
49,9206,3576,0.31%
50,19858,3555,0.31%
51,36221,3527,0.31%
52,12412,3519,0.31%
53,40927,3502,0.31%
54,21075,3475,0.31%
55,11018,3468,0.30%
56,33435,3465,0.30%
57,15711,3435,0.30%
58,36287,3427,0.30%
59,46408,3401,0.30%
60,38805,3399,0.30%
61,36949,3362,0.30%
62,17201,3290,0.29%
63,38900,3201,0.28%
64,31471,3164,0.28%
65,60259,3122,0.27%
66,6712,3117,0.27%
67,10031,3090,0.27%
68,42760,3075,0.27%
69,17735,3065,0.27%
70,34009,3054,0.27%
71,46910,3050,0.27%
72,54307,3018,0.27%
73,39483,3009,0.26%
74,54142,2976,0.26%
75,13009,2966,0.26%
76,8948,2956,0.26%
77,27659,2951,0.26%
78,14936,2936,0.26%
79,46578,2936,0.26%
80,7388,2934,0.26%
81,39648,2930,0.26%
82,39861,2916,0.26%
83,17821,2899,0.25%
84,11420,2893,0.25%
85,21330,2875,0.25%
86,1461,2864,0.25%
87,61198,2852,0.25%
88,24383,2844,0.25%
89,5152,2836,0.25%
90,65167,2821,0.25%
91,33545,2811,0.25%
