rank,nodename,count,percentage
1,Intelligence,116077,10.20%
2,Life,97939,8.61%
3,Dexterity,97229,8.55%
4,Strength,80207,7.05%
5,Jewel Socket,25598,2.25%
6,Life and Energy Shield,18519,1.63%
7,Critical Strike Chance,16601,1.46%
8,Elemental Damage,16538,1.45%
9,Energy Shield,15787,1.39%
10,Area of Effect Radius,14808,1.30%
11,Projectile Damage,12350,1.09%
12,Life and Armour,11246,0.99%
13,Evasion and Life,10750,0.94%
14,Spell Critical Strike Chance,10744,0.94%
15,Spell Damage,9389,0.83%
16,Two Handed Melee Damage,9203,0.81%
17,Mana and Life,7116,0.63%
18,Evasion and Energy Shield,6872,0.60%
19,Mana Regeneration and Life,6362,0.56%
20,Life and Chaos Resistance,6332,0.56%
21,Acrobatics Improvement,5958,0.52%
22,Mana,5826,0.51%
23,Trickery,5782,0.51%
24,Retribution,5737,0.50%
25,Coldhearted Calculation,5695,0.50%
26,Attack Speed,5495,0.48%
27,Discipline and Training,5436,0.48%
28,Fire Damage,5394,0.47%
29,Blood Siphon,5371,0.47%
30,Physical and Chaos Damage,5276,0.46%
31,Coordination,5138,0.45%
32,Skill Duration,4722,0.41%
33,Assassination,4649,0.41%
34,Constitution,4628,0.41%
35,Power Charge Duration,4593,0.40%
36,Stun Avoidance and Movement Speed,4520,0.40%
37,Physical Damage,4458,0.39%
38,Amplify,4457,0.39%
39,Melee Damage,4441,0.39%
40,Art of the Gladiator,4394,0.39%
41,Reduced Mana Reservation,4372,0.38%
42,Bravery,4365,0.38%
43,Golem's Blood,4246,0.37%
44,Nullification,4225,0.37%
45,Written in Blood,4202,0.37%
46,Sanctity,4198,0.37%
47,Frenzy Charge Duration,4169,0.37%
48,Life and Elemental Resistances,4154,0.37%
49,Blood Drinker,4121,0.36%
50,Deep Wisdom,3964,0.35%
51,Armour,3884,0.34%
52,Cruel Preparation,3772,0.33%
53,Area of Effect Damage,3599,0.32%
54,Herbalism,3555,0.31%
55,Elementalist,3527,0.31%
56,Blast Radius,3435,0.30%
57,Fangs of the Viper,3401,0.30%
58,Trap and Mine Damage,3365,0.30%
59,Devotion,3362,0.30%
60,Cast Speed,3348,0.29%
61,Life Leech,3271,0.29%
62,Life Regeneration,3269,0.29%
63,Mace Damage,3103,0.27%
64,Chaos Damage,3100,0.27%
65,Master of the Arena,3054,0.27%
66,Armour, Evasion and Life,3039,0.27%
67,Acrobatics,3018,0.27%
68,Finesse,2976,0.26%
69,Occultist's Dominion,2893,0.25%
70,Quick Recovery,2875,0.25%
71,Heart of the Warrior,2852,0.25%
72,Warrior's Blood,2844,0.25%
73,Harrier,2811,0.25%
74,Heart of Oak,2796,0.25%
75,Bow Damage and Critical Strike Chance,2722,0.24%
76,Lightning Damage,2608,0.23%
77,Damage Over Time,2596,0.23%
78,Spell Critical Strike Multiplier,2585,0.23%
79,Passive Point,2579,0.23%
80,Heart and Soul,2528,0.22%
81,Totem Damage,2510,0.22%
82,Shaper,2450,0.22%
83,Bow Critical Strike Chance and Multiplier,2421,0.21%
84,Purity of Flesh,2392,0.21%
85,Barbarism,2350,0.21%
86,Born to Fight,2300,0.20%
87,Annihilation,2298,0.20%
88,Ballistic Mastery,2276,0.20%
89,Mana Leech,2204,0.19%
90,Endurance Charge Duration,2141,0.19%
91,Vaal Pact,2141,0.19%
92,Aura Area of Effect,2139,0.19%
93,Sentinel,2138,0.19%
94,Instability,2135,0.19%
95,Heartseeker,2116,0.19%
96,Curse Effect,2100,0.18%
97,Energy Shield and Recovery,2059,0.18%
98,Life and Reduced Mana Cost,2053,0.18%
99,Life and Life on Kill,2051,0.18%
100,Fury Bolts,2049,0.18%
101,Melding,2033,0.18%
