rank,nodename,count,percentage
1,Acrobatics,3018,16.36%
2,Vaal Pact,2141,11.61%
3,Phase Acrobatics,1907,10.34%
4,Resolute Technique,1750,9.49%
5,Elemental Overload,1556,8.44%
6,Ghost Reaver,1298,7.04%
7,Elemental Equilibrium,888,4.81%
8,Ancestral Bond,879,4.77%
9,Mind Over Matter,844,4.58%
10,Chaos Inoculation,732,3.97%
11,Arrow Dancing,500,2.71%
12,Blood Magic,499,2.71%
13,Iron Reflexes,470,2.55%
14,Pain Attunement,431,2.34%
15,Eldritch Battery,416,2.26%
16,Unwavering Stance,355,1.92%
17,Zealot's Oath,335,1.82%
18,Conduit,128,0.69%
19,Avatar of Fire,108,0.59%
20,Point Blank,62,0.34%
21,Iron Grip,55,0.30%
22,Necromantic Aegis,49,0.27%
23,Minion Instability,24,0.13%
