skillpoints,count,percentage
109,603,5.56%
110,600,5.54%
108,562,5.19%
111,555,5.12%
107,551,5.08%
106,489,4.51%
112,458,4.23%
105,434,4.00%
103,402,3.71%
104,399,3.68%
102,387,3.57%
101,361,3.33%
113,350,3.23%
100,314,2.90%
99,277,2.56%
98,255,2.35%
97,251,2.32%
114,228,2.10%
95,227,2.09%
96,222,2.05%
94,192,1.77%
92,187,1.73%
93,176,1.62%
90,160,1.48%
91,155,1.43%
89,145,1.34%
115,144,1.33%
87,110,1.01%
88,103,0.95%
116,95,0.88%
85,85,0.78%
86,83,0.77%
84,70,0.65%
73,61,0.56%
72,58,0.54%
68,55,0.51%
80,55,0.51%
70,54,0.50%
79,54,0.50%
83,54,0.50%
81,51,0.47%
76,49,0.45%
78,48,0.44%
67,47,0.43%
75,45,0.42%
77,45,0.42%
66,44,0.41%
82,43,0.40%
69,41,0.38%
71,41,0.38%
74,40,0.37%
64,38,0.35%
117,38,0.35%
65,34,0.31%
62,29,0.27%
63,27,0.25%
61,22,0.20%
60,20,0.18%
59,18,0.17%
118,18,0.17%
119,11,0.10%
58,8,0.07%
120,6,0.06%
55,5,0.05%
121,4,0.04%
54,2,0.02%
56,2,0.02%
6,1,0.01%
16,1,0.01%
30,1,0.01%
32,1,0.01%
39,1,0.01%
47,1,0.01%
50,1,0.01%
53,1,0.01%
122,1,0.01%
