rank,ascendancy,nodename,count,percentage
1,"Ascendant","Passive Point",2579,4.86%
2,"Champion","Armour and Evasion, Fortify Effect",1601,3.02%
3,"Saboteur","Elemental Damage, Trap and Mine Placement Speed",1508,2.84%
4,"Assassin","Critical Strike Chance, Power Charge Duration",1396,2.63%
5,"Berserker","Physical Attack Damage, Attack Speed",1092,2.06%
6,"Inquisitor","Elemental Damage, Critical Strike Multiplier",1005,1.89%
7,"Ascendant","Strength",966,1.82%
8,"Ascendant","Dexterity",947,1.79%
9,"Deadeye","Projectile Damage, Attack Speed",926,1.75%
10,"Trickster","Attack and Cast Speed, Evasion and Energy Shield",884,1.67%
11,"Chieftain","Life Regeneration, Totem Placement Speed",831,1.57%
12,"Champion","Unstoppable Hero",829,1.56%
13,"Ascendant","Berserker",781,1.47%
14,"Raider","Evasion, Frenzy Charge Duration",775,1.46%
15,"Saboteur","Bomb Specialist",774,1.46%
16,"Champion","Fortitude",772,1.46%
17,"Assassin","Unstable Infusion",746,1.41%
18,"Saboteur","Chain Reaction",700,1.32%
19,"Deadeye","Projectile Damage, Accuracy",659,1.24%
20,"Assassin","Deadly Infusion",647,1.22%
21,"Champion","Armour and Evasion, Aura Effect",619,1.17%
22,"Champion","Inspirational",619,1.17%
23,"Occultist","Energy Shield, Energy Shield Recharge Rate",617,1.16%
24,"Deadeye","Fast and Deadly",583,1.10%
25,"Berserker","Crave the Slaughter",574,1.08%
26,"Assassin","Critical Strike Chance and Multiplier",561,1.06%
27,"Trickster","Attack and Cast Speed, Maximum Mana",546,1.03%
28,"Ascendant","Deadeye",544,1.03%
29,"Saboteur","Elemental Damage and Resistances",362,0.68%
29,"Inquisitor","Elemental Damage and Resistances",133,0.25%
29,"Elementalist","Elemental Damage and Resistances",49,0.09%
30,"Inquisitor","Righteous Providence",534,1.01%
31,"Gladiator","One Handed Speed, Block Chance",517,0.97%
32,"Berserker","Aspect of Carnage",516,0.97%
33,"Necromancer","Minion Damage, Cast Speed",494,0.93%
34,"Trickster","Walk the Aether",490,0.92%
35,"Trickster","Ghost Dance",488,0.92%
36,"Occultist","Energy Shield, Curse Duration",477,0.90%
37,"Raider","Evasion, Attack Speed",474,0.89%
38,"Assassin","Ambush",472,0.89%
39,"Inquisitor","Inevitable Judgement",467,0.88%
