rank,nodename,count,percentage
1,Trickery,5782,2.08%
2,Retribution,5737,2.06%
3,Coldhearted Calculation,5695,2.04%
4,Discipline and Training,5436,1.95%
5,Blood Siphon,5371,1.93%
6,Coordination,5138,1.84%
7,Assassination,4649,1.67%
8,Constitution,4628,1.66%
9,Amplify,4457,1.60%
10,Art of the Gladiator,4394,1.58%
11,Bravery,4365,1.57%
12,Golem's Blood,4246,1.52%
13,Nullification,4225,1.52%
14,Written in Blood,4202,1.51%
15,Sanctity,4198,1.51%
16,Blood Drinker,4121,1.48%
17,Deep Wisdom,3964,1.42%
18,Cruel Preparation,3772,1.35%
19,Herbalism,3555,1.28%
20,Elementalist,3465,1.24%
21,Blast Radius,3435,1.23%
22,Fangs of the Viper,3401,1.22%
23,Devotion,3362,1.21%
24,Master of the Arena,3054,1.10%
25,Finesse,2976,1.07%
26,Occultist's Dominion,2893,1.04%
27,Quick Recovery,2875,1.03%
28,Heart of the Warrior,2852,1.02%
29,Warrior's Blood,2844,1.02%
30,Harrier,2811,1.01%
31,Heart of Oak,2796,1.00%
32,Heart and Soul,2528,0.91%
33,Shaper,2450,0.88%
34,Purity of Flesh,2392,0.86%
35,Barbarism,2350,0.84%
36,Born to Fight,2300,0.83%
37,Annihilation,2298,0.83%
38,Ballistic Mastery,2276,0.82%
39,Sentinel,2138,0.77%
40,Instability,2135,0.77%
41,Heartseeker,2116,0.76%
42,Fury Bolts,2049,0.74%
43,Melding,2033,0.73%
44,Doom Cast,2029,0.73%
45,Savagery,2005,0.72%
46,Light of Divinity,1964,0.71%
47,Fervor,1862,0.67%
48,Frenetic,1732,0.62%
49,Juggernaut,1697,0.61%
50,Will of Blades,1677,0.60%
51,Arcane Focus,1671,0.60%
52,True Strike,1670,0.60%
53,Thick Skin,1620,0.58%
54,Foresight,1611,0.58%
55,Infused,1607,0.58%
56,Potency of Will,1429,0.51%
57,Destroyer,1407,0.51%
58,Sniper,1389,0.50%
59,King of the Hill,1348,0.48%
60,Lethality,1310,0.47%
61,Butchery,1286,0.46%
62,Deep Thoughts,1280,0.46%
63,Vitality Void,1108,0.40%
64,Primal Spirit,1065,0.38%
65,Aspect of the Lynx,1053,0.38%
66,Elemental Focus,1051,0.38%
67,Whispers of Doom,1018,0.37%
68,Hired Killer,981,0.35%
69,Bone Breaker,977,0.35%
70,Charisma,976,0.35%
71,Endurance,970,0.35%
72,Combat Stamina,961,0.35%
73,Bloodless,958,0.34%
74,Wisdom of the Glade,950,0.34%
75,Sovereignty,939,0.34%
76,Agility,932,0.33%
77,Exceptional Performance,913,0.33%
78,Clever Construction,905,0.32%
79,Skull Cracking,904,0.32%
80,Saboteur,878,0.32%
81,Overcharge,876,0.31%
82,Physique,851,0.31%
83,Stamina,845,0.30%
84,Hasty Reconstruction,833,0.30%
85,Unstoppable Hero,829,0.30%
86,Path of the Warrior,823,0.30%
87,Wrecking Ball,823,0.30%
88,Executioner,785,0.28%
89,Blunt Instrument,777,0.28%
90,Aspect of the Eagle,774,0.28%
91,Bomb Specialist,774,0.28%
92,Fortitude,772,0.28%
93,Nightstalker,763,0.27%
94,Cloth and Chain,761,0.27%
95,Unstable Infusion,746,0.27%
96,Armour Mastery,745,0.27%
97,Vigour,740,0.27%
98,Alchemist,728,0.26%
99,Alacrity,727,0.26%
100,Infused Shield,718,0.26%
101,Chain Reaction,700,0.25%
102,Explosive Impact,699,0.25%
103,High Explosives,680,0.24%
104,Diamond Skin,668,0.24%
105,Celestial Judgement,663,0.24%
106,Tireless,661,0.24%
107,Unnatural Calm,659,0.24%
108,Master Sapper,657,0.24%
109,Expertise,654,0.23%
110,Catalyse,649,0.23%
111,Totemic Mastery,648,0.23%
112,Deadly Infusion,647,0.23%
113,Practical Application,647,0.23%
114,Entropy,644,0.23%
115,Faith and Steel,637,0.23%
116,Inspirational,619,0.22%
117,Throatseeker,596,0.21%
118,Arcane Potency,595,0.21%
119,Profane Chemistry,586,0.21%
120,Fast and Deadly,583,0.21%
121,Method to the Madness,582,0.21%
122,Crave the Slaughter,574,0.21%
123,Weapon Artistry,551,0.20%
124,Influence,546,0.20%
125,Righteous Providence,534,0.19%
126,Growth and Decay,519,0.19%
127,Ancestral Knowledge,517,0.19%
128,Aspect of Carnage,516,0.19%
129,Arsonist,511,0.18%
130,Atrophy,506,0.18%
131,Revenge of the Hunted,503,0.18%
132,Mortal Conviction,490,0.18%
133,Walk the Aether,490,0.18%
134,Ghost Dance,488,0.18%
135,Nimbleness,488,0.18%
136,Path of the Savant,486,0.17%
137,Ambush,472,0.17%
138,Shamanistic Fury,471,0.17%
139,Inevitable Judgement,467,0.17%
140,Far Shot,465,0.17%
141,Piercing Shots,464,0.17%
142,Lord of the Dead,446,0.16%
143,Way of the Poacher,443,0.16%
144,Reflexes,441,0.16%
145,Arcane Vision,440,0.16%
146,Arohongui, Moon's Presence,428,0.15%
147,Celestial Punishment,426,0.15%
148,Force Shaper,421,0.15%
149,Mental Rapidity,417,0.15%
150,Druidic Rite,411,0.15%
151,Leadership,411,0.15%
152,Mistress of Sacrifice,407,0.15%
153,Deadly Draw,405,0.15%
154,Tukohama, War's Herald,402,0.14%
155,Shade Form,395,0.14%
156,Depth Perception,393,0.14%
157,Gravepact,392,0.14%
158,Essence Sap,391,0.14%
159,Wicked Ward,383,0.14%
160,Righteous Decree,380,0.14%
161,Rapid Assault,378,0.14%
162,Soul Siphon,378,0.14%
163,Holy Fire,376,0.14%
164,Quickstep,375,0.13%
165,Fire Walker,373,0.13%
166,Adder's Touch,370,0.13%
167,Tawhoa, Forest's Strength,368,0.13%
168,Defiance,360,0.13%
169,Dervish,359,0.13%
170,Explosives Expert,348,0.12%
171,Twin Terrors,344,0.12%
172,Heavy Draw,339,0.12%
173,Ricochet,339,0.12%
174,Precision,335,0.12%
175,Storm Weaver,335,0.12%
176,Avatar of the Slaughter,332,0.12%
177,Lightning Walker,331,0.12%
178,Skittering Runes,330,0.12%
179,Crackling Speed,322,0.12%
